carat,cut,color,clarity,price,x
0.3,Ideal,D,SI1,552,4.3
1.0,Good,G,VS1,5920,6.28
1.01,Fair,I,SI1,3280,6.28
0.31,Ideal,G,VS1,625,4.33
0.31,Premium,F,VS2,625,4.32
0.9,Ideal,G,SI1,4260,6.17
0.46,Very Good,G,VS1,1049,4.92
1.51,Ideal,J,VS2,7847,7.44
1.14,Premium,H,SI1,5003,6.76
1.52,Premium,G,VVS1,16104,7.48
0.89,Premium,G,SI1,3190,6.24
0.42,Ideal,G,VS2,847,4.82
0.41,Very Good,D,SI1,689,4.72
0.9,Very Good,F,VS2,4681,6.08
0.3,Very Good,E,VVS1,862,4.37
0.3,Ideal,I,VVS1,709,4.36
0.4,Good,D,VS2,786,4.65
1.51,Very Good,I,SI1,8758,7.26
0.5,Good,E,SI2,1098,5.24
0.32,Ideal,E,VS2,900,4.42
0.32,Very Good,F,VVS1,886,4.45
0.43,Premium,G,VVS2,1129,4.84
0.3,Very Good,G,VVS2,878,4.27
2.01,Fair,F,SI1,13387,8.32
1.12,Ideal,J,SI1,4840,6.65
0.32,Very Good,G,VS2,561,4.42
0.7,Good,F,SI2,2100,5.8
1.03,Premium,D,VVS2,8469,6.43
0.7,Good,F,SI1,2401,5.84
1.35,Good,I,VS2,5610,7.18
0.38,Ideal,E,VVS1,1267,4.64
0.3,Very Good,D,VS2,710,4.23
0.87,Ideal,D,SI1,4108,6.17
1.2,Ideal,H,VS2,6956,6.76
1.73,Premium,I,VS1,13250,7.75
1.31,Premium,H,SI2,4548,7.03
0.44,Very Good,E,VS1,1090,4.94
0.52,Very Good,E,SI1,1389,5.1
0.35,Ideal,F,VS2,906,4.6
0.34,Ideal,E,SI1,637,4.48
0.31,Very Good,G,SI2,408,4.32
1.51,Fair,H,SI1,7509,7.72
1.0,Premium,F,SI1,5410,6.43
0.9,Good,D,SI1,3567,6.0
0.33,Ideal,D,SI2,631,4.43
0.27,Ideal,E,VS1,470,4.16
0.71,Premium,D,SI2,2317,5.7
0.9,Fair,F,VS2,3931,6.09
2.0,Good,I,VS1,15851,8.1
0.51,Premium,H,SI2,1125,5.08
0.6,Ideal,G,SI2,1250,5.58
1.23,Very Good,H,SI1,5665,6.72
0.71,Ideal,H,SI2,2122,5.68
1.03,Ideal,F,SI1,5366,6.42
1.01,Premium,D,SI1,5147,6.66
0.52,Ideal,G,VVS2,1858,5.22
0.9,Very Good,D,SI1,4846,6.21
1.21,Ideal,I,SI2,5091,6.92
1.08,Ideal,I,SI1,5049,6.51
1.01,Premium,G,VS2,5787,6.45
0.72,Very Good,H,VS1,2206,5.72
0.3,Ideal,D,VS2,911,4.34
1.07,Ideal,E,SI1,4973,6.62
0.31,Ideal,I,VS2,558,4.4
1.14,Very Good,E,IF,12647,6.63
1.2,Ideal,H,SI1,6518,6.83
2.28,Premium,H,SI1,13919,8.6
0.43,Premium,G,SI1,968,4.83
1.0,Premium,F,SI1,4234,6.34
0.7,Ideal,E,SI2,2061,5.71
0.4,Very Good,G,VVS2,945,4.88
0.42,Ideal,E,VVS2,1216,4.81
0.32,Ideal,D,VS2,972,4.39
0.55,Ideal,I,SI1,1367,5.29
0.31,Ideal,G,VS2,544,4.35
0.32,Ideal,H,VVS2,628,4.42
1.18,Premium,I,VS1,5477,6.73
0.3,Premium,D,VS2,911,4.35
0.54,Ideal,I,VS2,1260,5.2
1.17,Premium,G,VS1,7666,6.81
0.57,Ideal,G,VS1,1949,5.33
0.3,Premium,G,VVS1,1013,4.29
1.18,Ideal,E,VS1,11104,6.77
0.51,Very Good,F,VVS2,2041,5.11
2.22,Ideal,J,VS1,16689,8.34
0.41,Premium,G,VS1,961,4.8
0.32,Very Good,H,VVS2,645,4.42
2.08,Premium,G,SI2,12883,8.16
0.43,Fair,E,VS2,1107,4.92
0.53,Ideal,F,VS1,1830,5.22
1.2,Very Good,G,VVS2,9169,6.8
0.8,Premium,G,SI2,2484,6.02
0.56,Ideal,I,VVS1,1622,5.33
0.34,Premium,H,VS1,596,4.45
0.4,Premium,D,SI2,855,4.73
1.2,Ideal,I,IF,7367,6.79
1.51,Ideal,G,VS2,14482,7.38
1.01,Very Good,D,VS1,7785,6.38
1.06,Ideal,G,VS1,7790,6.56
1.51,Ideal,G,VS2,10553,7.33
0.74,Fair,J,VS1,1982,5.91
1.07,Premium,F,SI1,4597,6.58
0.71,Ideal,E,VS2,3073,5.69
0.77,Very Good,G,VS2,2896,6.0
0.79,Ideal,G,SI1,2871,5.91
0.31,Ideal,E,SI1,698,4.34
0.31,Ideal,D,VVS2,1034,4.35
0.7,Good,I,VS2,2010,5.9
0.9,Good,F,VS1,4580,6.06
1.7,Ideal,J,SI2,8505,7.74
0.5,Ideal,D,SI2,1368,5.15
1.01,Good,G,VVS2,7430,6.34
0.7,Very Good,D,VVS1,4362,5.63
0.44,Premium,J,VS1,891,4.9
1.58,Premium,I,VS1,10428,7.44
1.0,Ideal,G,SI1,4956,6.41
0.32,Ideal,E,VS1,825,4.4
0.41,Very Good,F,VVS1,1143,4.7
1.0,Very Good,H,VVS1,6296,6.36
0.32,Very Good,E,SI1,561,4.36
0.57,Very Good,G,VS2,1608,5.26
0.52,Ideal,G,VVS2,2012,5.16
0.71,Very Good,G,SI1,2206,5.66
0.31,Ideal,G,VVS2,707,4.31
0.3,Premium,H,SI1,554,4.28
0.52,Ideal,D,SI2,1292,5.16
0.55,Ideal,E,SI2,1273,5.26
1.12,Very Good,G,IF,9820,6.7
0.84,Very Good,G,VS2,3596,6.04
0.5,Premium,D,SI2,997,5.06
1.0,Premium,G,VS2,6272,6.42
1.18,Ideal,J,VS1,5182,6.79
0.24,Very Good,E,VVS1,485,3.95
1.02,Very Good,F,VS1,6785,6.45
0.32,Good,D,SI1,756,4.38
0.7,Good,E,VS1,3063,5.79
1.52,Very Good,F,VS2,14412,7.29
0.32,Ideal,F,SI1,491,4.38
0.32,Ideal,H,VS2,648,4.38
0.4,Good,E,SI1,882,4.67
0.41,Very Good,H,VS1,827,4.74
1.04,Very Good,G,SI1,5070,6.49
1.17,Ideal,D,SI2,5412,6.77
0.36,Ideal,I,VS1,587,4.58
2.06,Very Good,F,I1,9789,8.31
1.0,Ideal,E,VS2,6600,6.38
0.3,Premium,D,SI1,709,4.29
1.01,Fair,F,VS2,6271,6.49
0.26,Ideal,F,VS1,618,4.11
0.52,Good,E,VS2,1673,5.26
0.7,Good,F,VS2,2591,5.56
1.03,Ideal,F,VS2,6751,6.48
0.31,Ideal,E,VS2,680,4.32
0.33,Premium,E,VVS2,868,4.47
1.5,Very Good,H,SI1,7459,7.23
0.42,Very Good,E,SI1,728,4.83
1.01,Ideal,D,SI2,5206,6.39
0.37,Premium,F,SI1,791,4.62
1.65,Very Good,H,VS1,12686,7.55
0.31,Premium,D,SI1,537,4.49
1.08,Ideal,H,SI1,5756,6.61
1.15,Good,H,VS1,5935,6.66
0.34,Premium,I,VVS1,626,4.4
1.3,Good,J,VS2,5269,6.9
0.76,Very Good,F,VS2,2873,5.8
1.01,Ideal,E,VS2,7198,6.43
1.05,Premium,E,SI1,5951,6.5
0.76,Good,I,SI1,2326,5.69
0.7,Very Good,F,VS2,2362,5.66
0.4,Premium,E,VS2,1038,4.73
0.55,Ideal,E,VS2,1639,5.26
1.03,Premium,H,SI2,3749,6.47
1.29,Ideal,I,SI2,6097,6.99
0.31,Good,F,VS2,583,4.31
0.4,Good,E,SI1,882,4.69
0.41,Very Good,J,VVS1,775,4.79
0.33,Ideal,E,SI1,579,4.42
2.51,Premium,J,SI2,16278,8.83
0.3,Ideal,H,VVS1,636,4.31
0.71,Fair,D,VS2,2858,5.89
1.22,Ideal,I,SI1,6062,6.84
0.9,Premium,H,VS2,4191,6.19
1.21,Premium,G,VVS2,9779,6.88
0.5,Good,G,VS1,1565,5.03
0.64,Very Good,H,SI2,1292,5.43
0.5,Premium,E,VS2,1654,5.21
0.3,Very Good,G,VS1,605,4.28
1.43,Ideal,H,VS1,11498,7.21
0.36,Very Good,E,VS2,789,4.49
0.6,Ideal,I,SI1,1390,5.39
0.31,Ideal,I,SI1,418,4.34
1.04,Premium,H,SI1,4980,6.62
1.5,Premium,F,VS2,14352,7.37
1.51,Premium,H,VS1,11161,7.29
1.2,Ideal,J,SI1,4831,6.79
0.41,Ideal,E,SI1,969,4.81
1.11,Very Good,I,SI2,4202,6.63
0.9,Very Good,J,VS1,3102,6.11
0.7,Very Good,G,VS1,2591,5.69
0.75,Ideal,E,VS1,3462,5.83
1.0,Premium,F,SI2,3920,6.41
0.34,Ideal,D,VS2,730,4.52
0.51,Ideal,H,SI1,1195,5.14
0.3,Ideal,F,VS2,605,4.26
0.28,Very Good,D,VS1,487,4.19
0.78,Very Good,H,SI2,2265,5.82
1.51,Very Good,J,VVS2,8770,7.21
0.55,Very Good,E,VS2,1786,5.25
1.3,Ideal,H,VS2,5387,7.0
1.2,Good,J,VS2,4548,6.68
0.9,Very Good,H,SI1,3387,6.13
2.01,Very Good,H,SI1,18027,8.32
1.11,Premium,F,SI1,4699,6.68
1.52,Ideal,F,VS2,11405,7.37
0.71,Very Good,G,VS2,2598,5.69
1.27,Ideal,H,SI1,6858,7.02
1.2,Ideal,F,VS1,10367,6.78
0.32,Good,F,VS2,602,4.34
0.42,Premium,G,VVS1,1179,4.9
0.76,Very Good,H,VS2,2517,5.78
1.08,Good,E,SI2,4742,6.54
0.43,Ideal,I,VS2,716,4.85
0.26,Ideal,G,VS1,456,4.12
0.31,Premium,I,VS2,435,4.31
0.38,Very Good,E,VS2,740,4.67
0.91,Good,G,VS1,4284,6.07
0.54,Ideal,H,VS1,1381,5.22
1.06,Very Good,H,SI2,4372,6.49
0.38,Ideal,H,VVS1,1069,4.75
0.55,Ideal,D,VS2,1894,5.27
0.31,Premium,F,SI1,663,4.33
1.21,Good,G,VS2,7359,6.95
1.55,Premium,D,VS2,15991,7.48
0.32,Ideal,I,VS2,449,4.37
0.41,Very Good,F,VS1,1007,4.83
0.7,Fair,F,SI2,1947,5.6
0.91,Premium,G,VVS2,5167,6.24
0.32,Ideal,G,IF,918,4.44
0.91,Premium,E,SI1,4332,6.15
0.41,Ideal,G,VVS2,1007,4.8
0.31,Good,J,SI1,363,4.3
0.7,Very Good,I,VVS1,2565,5.62
0.3,Very Good,H,VS2,473,4.32
2.14,Ideal,H,SI2,12720,8.25
0.33,Ideal,E,VVS2,868,4.45
0.32,Ideal,G,VS1,828,4.44
0.34,Premium,E,SI1,765,4.51
0.3,Good,J,SI1,351,4.23
1.03,Premium,J,SI2,3378,6.47
0.46,Ideal,E,SI2,1116,5.02
1.14,Premium,G,SI1,5424,6.68
1.0,Very Good,E,SI1,5026,6.31
0.57,Ideal,H,SI2,1077,5.31
1.61,Premium,J,IF,10350,7.53
0.51,Premium,D,SI1,1687,5.22
2.01,Premium,I,SI1,15707,8.01
0.34,Ideal,E,SI2,454,4.49
1.06,Very Good,F,VS2,7706,6.53
1.16,Ideal,J,SI1,4028,6.83
1.01,Good,D,SI2,4260,6.36
0.3,Very Good,G,VVS2,878,4.27
0.62,Fair,D,SI2,1410,5.39
0.26,Good,E,VVS2,599,4.04
1.05,Ideal,G,VS2,6586,6.53
0.5,Premium,H,SI2,958,5.14
0.32,Very Good,E,SI1,672,4.38
0.52,Ideal,E,VS1,1668,5.11
1.72,Premium,G,VS1,17605,7.82
0.52,Ideal,E,VS1,1726,5.18
0.32,Ideal,F,VS1,716,4.42
0.55,Ideal,E,VS1,2079,5.26
0.75,Ideal,E,VS1,3086,5.85
1.02,Ideal,G,VS2,6591,6.4
1.34,Ideal,J,SI2,5273,7.0
1.03,Premium,G,VS2,5814,6.51
0.31,Ideal,G,IF,891,4.35
0.54,Premium,H,VVS2,1662,5.29
1.01,Premium,H,VS2,5166,6.45
0.26,Ideal,G,VS1,508,4.1
1.04,Very Good,E,SI2,4472,6.5
0.43,Very Good,E,VS2,981,4.79
1.01,Premium,I,SI1,4242,6.37
1.03,Ideal,H,I1,3230,6.52
1.06,Ideal,G,SI2,4578,6.56
1.22,Ideal,F,VS1,9581,6.82
0.74,Premium,D,SI2,2291,5.85
0.72,Very Good,F,SI1,2440,5.71
0.71,Premium,G,SI2,2913,5.7
0.5,Very Good,E,SI1,1331,5.06
0.32,Ideal,E,VVS1,827,4.37
1.52,Ideal,E,SI1,12431,7.3
1.18,Premium,I,VS1,5921,6.76
0.73,Ideal,J,VS2,2258,5.76
0.3,Premium,G,VS2,675,4.32
0.43,Good,E,SI2,858,4.83
1.01,Very Good,J,SI1,4153,6.45
0.37,Very Good,F,VS1,863,4.68
0.38,Premium,H,VS2,898,4.69
0.34,Ideal,E,SI1,765,4.52
1.3,Premium,I,VS2,5242,7.01
0.92,Good,D,SI2,3335,6.36
1.14,Good,I,VS1,5056,6.6
0.58,Good,E,VS1,2041,5.3
0.68,Premium,H,SI1,1708,5.8
1.0,Premium,E,I1,3136,6.38
0.38,Ideal,G,VS1,1069,4.71
0.96,Premium,J,SI1,3269,6.4
0.7,Very Good,G,SI1,2088,5.58
0.93,Premium,H,SI1,3750,6.27
0.33,Ideal,I,IF,694,4.41
1.5,Very Good,E,SI1,11586,7.38
1.04,Ideal,G,SI2,4973,6.47
0.32,Premium,G,VS1,828,4.41
0.51,Ideal,F,VS2,1619,5.23
0.31,Very Good,F,VS2,625,4.32
0.9,Very Good,I,VS1,3447,6.14
0.4,Ideal,F,VS2,1059,4.77
1.02,Ideal,G,SI2,4363,6.42
1.01,Good,D,SI2,4606,6.18
1.04,Ideal,I,SI1,4484,6.51
0.38,Ideal,F,VS1,998,4.64
0.72,Ideal,G,VS1,3478,5.74
0.41,Ideal,G,SI1,861,4.77
1.09,Very Good,E,SI2,5035,6.61
1.3,Ideal,H,VS1,8915,6.97
1.11,Premium,E,SI1,5908,6.66
0.9,Good,G,VS1,4540,6.09
0.54,Very Good,D,VS1,1988,5.38
0.57,Ideal,D,VS2,2103,5.37
0.5,Premium,E,VS2,1420,5.07
0.7,Fair,H,VS2,1981,5.49
0.3,Very Good,E,SI1,526,4.27
0.7,Ideal,D,SI2,2415,5.68
0.72,Premium,J,VS2,1941,5.67
0.72,Premium,F,SI1,2318,5.74
0.53,Premium,E,SI1,1395,5.11
1.01,Premium,H,VS2,5166,6.58
0.55,Premium,E,SI2,1134,5.37
0.53,Very Good,F,VS1,1821,5.19
1.23,Ideal,H,SI2,5510,6.78
2.1,Ideal,I,SI1,12168,8.24
0.46,Ideal,F,SI2,851,4.95
0.52,Ideal,G,VS1,1815,5.16
1.35,Ideal,D,VS2,10602,7.09
0.41,Good,G,VVS1,844,4.72
0.4,Very Good,D,VS1,967,4.67
0.53,Ideal,E,VS2,1948,5.22
0.74,Very Good,E,SI2,2282,5.73
0.33,Ideal,E,VS1,1002,4.54
0.4,Ideal,E,SI2,629,4.75
0.4,Premium,F,VS2,842,4.79
1.03,Very Good,D,SI2,4545,6.53
0.71,Ideal,I,SI1,2660,5.71
0.3,Premium,E,SI1,526,4.24
1.22,Very Good,G,SI1,6334,6.84
0.24,Very Good,D,VVS2,499,4.03
0.4,Premium,E,SI1,737,4.71
0.58,Ideal,E,VS1,1965,5.41
0.55,Very Good,I,SI2,1041,5.15
0.34,Premium,I,VVS2,765,4.49
1.0,Fair,E,VS2,6285,6.59
0.56,Premium,D,SI1,1814,5.33
0.39,Very Good,F,VVS2,965,4.7
0.9,Very Good,D,SI1,4289,6.11
0.72,Very Good,I,VS2,2393,5.66
0.33,Ideal,F,IF,971,4.47
0.33,Ideal,E,VS2,928,4.47
0.23,Very Good,G,VVS1,484,3.95
0.5,Ideal,J,VS2,915,5.09
0.51,Very Good,G,VS2,1438,5.07
1.0,Very Good,E,VS1,7532,6.34
1.17,Ideal,G,VVS2,8947,6.74
1.07,Premium,G,SI2,4401,6.54
1.61,Ideal,F,VS2,15819,7.49
0.5,Ideal,E,SI2,1181,5.09
1.0,Premium,G,SI1,4816,6.48
0.7,Ideal,G,VVS2,3234,5.78
0.57,Ideal,F,VVS2,2360,5.31
0.74,Very Good,G,VS1,2896,5.85
0.36,Ideal,D,SI1,663,4.55
0.91,Very Good,F,VS2,4917,6.19
0.34,Ideal,F,SI2,447,4.54
0.3,Very Good,E,VS2,575,4.21
1.02,Ideal,D,SI2,5235,6.4
1.51,Good,F,SI2,9301,7.25
1.52,Premium,I,SI2,8010,7.47
0.91,Ideal,F,SI1,5176,6.21
0.93,Good,J,SI1,2438,6.15
0.26,Ideal,H,VS2,434,4.09
0.36,Ideal,D,SI1,636,4.61
1.7,Premium,I,VS2,11257,7.63
0.31,Ideal,D,VS2,734,4.39
0.31,Fair,E,SI1,579,4.53
1.01,Very Good,G,SI2,3852,6.43
0.36,Premium,F,SI1,770,4.6
2.0,Premium,H,SI2,11975,8.05
0.27,Ideal,F,VS2,577,4.17
1.13,Premium,F,IF,12549,6.82
1.01,Very Good,E,VS2,6399,6.42
0.38,Premium,F,SI1,838,4.63
1.24,Ideal,G,SI1,6895,6.93
0.35,Ideal,D,VS2,829,4.53
1.01,Very Good,E,SI1,5339,6.43
1.01,Premium,H,SI1,4191,6.59
0.37,Ideal,I,IF,754,4.65
0.73,Fair,F,I1,1158,5.62
0.3,Premium,G,VVS2,878,4.28
0.51,Premium,D,VS1,1873,5.24
1.33,Ideal,I,VS2,7325,7.01
0.41,Ideal,G,VS2,1061,4.84
0.53,Premium,E,SI1,1654,5.22
0.53,Ideal,G,VS1,1922,5.18
0.62,Ideal,E,VS1,2731,5.52
1.5,Ideal,I,SI1,8685,7.32
0.67,Very Good,G,VS2,2131,5.56
0.27,Very Good,E,VVS1,620,4.23
0.7,Fair,H,SI1,2051,5.59
0.3,Ideal,F,VVS1,802,4.33
1.0,Ideal,D,SI1,5929,6.51
0.73,Very Good,G,VVS2,3288,5.83
1.53,Very Good,H,VS2,11452,7.37
0.71,Very Good,I,VVS1,2456,5.65
0.52,Ideal,H,VS2,1238,5.18
0.56,Ideal,E,VS2,1625,5.3
0.32,Premium,G,VS2,720,4.44
0.88,Very Good,E,SI2,3150,6.22
0.52,Good,F,SI1,1244,5.07
0.3,Ideal,G,SI1,477,4.27
0.32,Ideal,I,VS2,449,4.38
0.72,Ideal,H,VS2,3122,5.74
1.51,Good,E,SI1,12490,7.34
1.03,Ideal,H,SI2,4325,6.48
0.3,Premium,D,SI1,662,4.31
1.6,Ideal,J,VS2,8886,7.51
0.41,Premium,F,VS1,1076,4.87
0.9,Very Good,D,SI2,3975,6.25
0.93,Very Good,G,SI2,4163,6.2
0.5,Good,D,SI1,1436,4.94
0.97,Premium,H,SI2,3346,6.44
1.01,Very Good,I,VS2,5067,6.38
0.52,Ideal,F,IF,2598,5.22
0.51,Ideal,D,VS2,1597,5.15
1.35,Ideal,D,VS2,10796,7.13
0.9,Very Good,H,VS1,4234,6.13
0.52,Very Good,G,VVS1,1913,5.18
0.25,Very Good,H,VVS1,450,4.08
0.41,Premium,G,VS2,827,4.72
0.68,Very Good,G,IF,3143,5.56
0.31,Premium,E,SI1,471,4.32
1.01,Fair,G,VS1,6353,6.34
0.55,Ideal,E,VS1,1975,5.3
0.36,Premium,G,IF,1148,4.53
0.37,Very Good,F,SI2,487,4.62
0.31,Ideal,E,VS1,942,4.4
1.02,Very Good,H,SI1,4796,6.38
0.3,Premium,F,VS2,776,4.32
1.2,Premium,G,SI1,6451,6.71
2.01,Fair,G,SI2,15562,7.89
0.85,Very Good,E,VS2,3871,6.09
1.02,Good,H,SI2,3770,6.75
0.7,Very Good,I,SI1,1856,5.68
0.71,Premium,F,SI2,2040,5.66
0.72,Ideal,E,VVS1,4702,5.75
1.0,Premium,F,VS1,7336,6.38
0.7,Good,E,SI2,2310,5.88
0.58,Ideal,G,VS1,1884,5.3
1.24,Premium,H,SI2,5694,7.02
1.06,Ideal,F,I1,3544,6.55
0.38,Premium,H,VVS2,833,4.62
1.22,Premium,D,SI2,6046,6.8
0.3,Premium,F,VS2,776,4.29
0.4,Ideal,F,VS1,1050,4.76
0.28,Very Good,H,VVS2,522,4.21
1.06,Ideal,H,SI1,5020,6.51
0.51,Very Good,E,SI1,1438,5.06
0.3,Good,H,SI1,540,4.22
0.71,Very Good,E,VVS1,3808,5.66
1.21,Ideal,I,VS1,6691,6.83
1.26,Ideal,J,SI1,5301,6.9
0.81,Premium,G,VS2,2994,5.95
0.41,Premium,H,SI1,876,4.75
1.01,Fair,E,I1,2788,6.29
0.51,Very Good,H,VVS2,1577,5.06
1.15,Very Good,H,SI2,4483,6.64
0.54,Ideal,D,VS2,1993,5.24
0.42,Premium,D,VVS2,1241,4.76
1.23,Premium,H,VS2,6150,7.0
1.2,Very Good,I,VS2,5884,6.83
1.35,Fair,I,VS2,7182,7.15
0.5,Very Good,H,SI1,1181,5.02
0.74,Ideal,G,SI2,2487,5.82
1.71,Premium,J,SI1,8690,7.63
0.45,Fair,E,VS2,951,4.81
0.72,Ideal,E,VS2,3427,5.8
1.0,Very Good,F,VS2,6701,6.32
2.15,Ideal,I,SI2,14519,8.43
0.32,Ideal,G,VVS2,708,4.39
1.29,Ideal,H,VS1,9273,6.97
0.36,Very Good,I,VS2,505,4.52
0.53,Premium,E,VS2,1813,5.21
0.5,Good,F,SI2,926,5.22
0.71,Ideal,G,VS1,2930,5.69
0.56,Ideal,D,VS1,2292,5.26
0.31,Very Good,F,VVS1,777,4.34
1.01,Very Good,E,VVS1,10704,6.41
0.43,Premium,G,VS1,943,4.83
0.71,Very Good,E,SI2,2313,5.68
0.7,Ideal,H,VS2,2536,5.7
1.22,Ideal,F,SI2,6401,6.81
1.52,Ideal,I,IF,10419,7.27
0.41,Very Good,E,SI1,667,4.69
0.32,Ideal,I,VVS1,553,4.39
1.6,Ideal,G,VVS1,16339,7.58
0.4,Ideal,G,VS2,792,4.73
0.53,Ideal,E,SI2,1229,5.23
0.51,Very Good,G,VS1,1709,5.08
0.32,Premium,G,VS1,828,4.47
0.33,Very Good,G,SI2,460,4.52
1.0,Premium,D,SI2,4730,6.33
0.39,Ideal,D,VS1,1095,4.69
0.36,Ideal,H,VS2,599,4.58
0.42,Ideal,H,SI1,898,4.79
0.74,Premium,I,SI2,2042,5.93
1.01,Very Good,E,SI2,3801,6.43
0.53,Ideal,G,VS1,1754,5.23
1.0,Fair,F,SI1,5040,6.45
1.0,Fair,H,VS2,3819,6.35
1.01,Very Good,F,SI2,3563,6.33
0.9,Good,H,VS2,3538,6.14
0.4,Ideal,G,SI1,855,4.76
0.32,Ideal,G,VS1,559,4.39
0.4,Premium,F,SI1,920,4.76
0.31,Ideal,F,VS1,642,4.38
0.32,Ideal,I,VS2,576,4.42
0.51,Ideal,G,VVS2,1974,5.16
0.55,Ideal,D,VS1,2251,5.28
1.52,Premium,I,SI1,8852,7.48
1.09,Premium,D,SI2,5164,6.6
0.33,Very Good,G,VS1,643,4.46
1.6,Fair,D,SI2,8666,7.35
1.01,Good,E,SI1,4928,6.65
0.7,Very Good,F,VVS1,3270,5.74
0.9,Premium,H,SI1,3730,6.26
1.32,Fair,F,VVS1,12648,7.31
0.4,Good,D,VVS2,1080,4.74
0.57,Ideal,H,VS2,1573,5.35
1.5,Fair,G,VS2,10644,7.12
0.55,Premium,G,VS2,1668,5.29
1.01,Very Good,E,VS2,6787,6.38
0.3,Very Good,G,VS2,675,4.28
0.4,Good,G,VS1,952,4.82
0.7,Very Good,F,SI2,2100,5.67
1.4,Very Good,G,VS1,11584,7.31
1.52,Premium,J,VS1,8110,7.34
0.3,Ideal,H,SI1,450,4.26
0.31,Ideal,G,VVS1,789,4.37
1.42,Very Good,E,SI1,9278,7.17
1.01,Very Good,H,VS2,5028,6.39
1.51,Ideal,G,VS1,14542,7.34
0.27,Very Good,E,VS1,413,4.19
0.54,Ideal,H,SI1,1240,5.26
0.72,Ideal,J,VS2,1904,5.76
1.03,Ideal,G,VS2,6981,6.51
0.33,Premium,G,VS1,666,4.43
1.0,Very Good,F,SI1,4474,6.36
2.0,Ideal,G,SI2,11988,8.13
0.31,Premium,E,VVS2,1046,4.38
1.0,Premium,E,SI2,4200,6.34
1.01,Ideal,F,VS2,7229,6.48
0.72,Very Good,H,VS2,2462,5.75
0.31,Ideal,G,VS1,802,4.43
0.58,Ideal,G,SI2,1134,5.35
1.01,Very Good,H,VS2,4692,6.33
1.51,Very Good,F,VS1,15440,7.29
1.56,Premium,I,SI1,7155,7.44
0.9,Good,I,VVS1,3972,6.05
0.32,Ideal,E,VVS2,842,4.38
1.01,Very Good,D,SI1,5812,6.33
0.31,Ideal,E,VVS1,924,4.33
0.71,Very Good,H,SI1,2266,5.73
0.9,Ideal,H,SI2,4101,6.17
1.56,Very Good,J,SI2,6662,7.4
0.32,Ideal,D,SI2,477,4.38
0.42,Very Good,G,SI1,916,4.78
0.43,Ideal,E,VS2,1048,4.85
1.37,Very Good,I,SI2,5584,6.98
0.77,Very Good,H,VS1,2765,5.88
0.4,Ideal,G,VVS1,1200,4.79
1.15,Very Good,F,SI2,4915,6.67
0.34,Ideal,H,VS2,689,4.58
0.4,Premium,F,VS1,1050,4.81
2.12,Premium,H,SI1,18656,8.18
1.1,Premium,D,SI1,5606,6.73
1.06,Premium,D,VS2,7479,6.7
2.01,Ideal,I,VS1,17227,8.06
1.0,Good,F,SI2,4053,6.43
0.73,Ideal,H,VS1,2919,5.79
1.0,Fair,G,I1,2398,6.2
0.47,Premium,G,VS2,1102,4.98
0.32,Ideal,F,VS1,716,4.39
1.7,Very Good,H,SI2,9745,7.47
0.33,Ideal,D,VS1,957,4.5
0.31,Good,G,VS1,625,4.29
1.5,Good,H,SI2,6770,7.3
0.32,Premium,E,SI1,672,4.42
0.32,Very Good,H,SI1,449,4.34
0.52,Ideal,G,VVS1,2063,5.14
0.41,Ideal,D,VS2,1007,4.74
1.02,Premium,G,VS1,6505,6.52
1.0,Fair,E,SI2,4516,6.28
1.16,Ideal,G,VVS1,9075,6.78
1.01,Premium,F,SI2,4468,6.38
0.34,Ideal,G,VS2,765,4.48
1.34,Premium,E,VS2,8480,7.26
0.42,Ideal,D,VS2,1031,4.8
1.04,Ideal,D,SI1,5952,6.55
0.4,Very Good,F,VS1,895,4.68
1.08,Very Good,E,SI2,5018,6.44
0.41,Very Good,G,SI1,719,4.76
0.26,Very Good,D,VVS2,597,4.15
0.27,Very Good,G,VVS2,442,4.12
0.55,Ideal,D,SI1,1840,5.29
1.51,Very Good,G,SI1,9664,7.19
0.52,Ideal,E,VS2,1694,5.2
0.32,Ideal,G,VS1,828,4.43
0.33,Premium,H,VVS2,854,4.42
1.01,Ideal,F,SI1,4276,6.38
0.5,Very Good,D,SI1,1376,5.08
0.55,Very Good,G,VS1,1786,5.25
1.09,Ideal,H,SI1,5219,6.58
0.63,Very Good,G,VVS2,2481,5.5
1.22,Very Good,F,SI1,6530,6.8
1.5,Very Good,J,VVS2,8391,7.18
1.14,Very Good,E,SI2,4915,6.63
0.72,Ideal,H,SI1,2361,5.73
0.3,Premium,F,VS2,605,4.29
0.71,Very Good,E,VS2,2450,5.6
0.4,Premium,E,VVS1,1397,4.74
1.18,Premium,G,VVS2,9137,6.77
0.44,Premium,E,VS1,1238,4.91
1.0,Premium,F,VVS1,9901,6.43
0.42,Premium,H,VVS1,1142,4.82
0.41,Ideal,E,VS1,1079,4.74
0.34,Premium,G,SI1,650,4.56
0.7,Very Good,I,SI1,1890,5.56
0.6,Premium,G,SI1,1286,5.44
1.01,Ideal,G,VS2,6159,6.41
0.23,Premium,F,VVS2,445,3.94
0.3,Ideal,G,VS1,776,4.32
1.0,Good,E,SI1,4916,6.42
2.06,Premium,H,SI2,12677,8.06
0.41,Good,D,SI1,717,4.68
2.01,Very Good,I,SI2,9781,8.19
1.14,Premium,I,VS2,5008,6.68
